"FeatureName","ControlID","Description","ControlSeverity","IsBaselineControl","IsPreviewBaselineControl","Rationale","Recommendation","Automated","SupportsAutoFix","Tags"
"RedisCache","Azure_RedisCache_AuthZ_Grant_Min_RBAC_Access","All users/identities must be granted minimum required permissions using Role Based Access Control (RBAC)","Moderate","No","No","Granting minimum access by leveraging RBAC feature ensures that users are granted just enough permissions to perform their tasks. This minimizes exposure of the resources in case of user/service account compromise.","Remove any excessive privileges granted on the Redis Cache. Assign 'Redis Cache Contributor' RBAC role to developers who manages Redis Cache configurations. Run command: Remove-AzRoleAssignment -SignInName '{signInName}' -Scope '{scope}' -RoleDefinitionName '{role definition name}'. Run 'Get-Help Remove-AzRoleAssignment -full' for more help. Refer: https://docs.microsoft.com/en-us/azure/active-directory/role-based-access-control-manage-access-powershell","Yes","No","SDL, TCP, Automated, AuthZ, RBAC, RedisCache"
"RedisCache","Azure_RedisCache_Audit_Enable_Diagnostics_Log","Diagnostics logs must be enabled with a retention period of at least 365 days.","Moderate","No","No","Logs should be retained for a long enough period so that activity trail can be recreated when investigations are required in the event of an incident or a compromise. A period of 1 year is typical for several compliance requirements as well.","You can change the diagnostic settings from the Azure Portal by following the steps given here: https://docs.microsoft.com/en-us/azure/monitoring-and-diagnostics/monitoring-archive-diagnostic-logs#archive-diagnostic-logs-using-the-portal","No","No","SDL, TCP, Manual, Audit, Diagnostics, RedisCache"
"RedisCache","Azure_RedisCache_AuthZ_Configure_IP_Range","Configure Redis Cache firewall settings for additional protection","Moderate","No","No","Using the firewall feature ensures that access to the data or the service is restricted to a specific set/group of clients. NOTE: While this control does provide an extra layer of access control protection, it may not always be feasible to implement in all scenarios.","Enable firewall and add rules specifying permitted IPs/ranges. Do not add IP range 0.0.0.0-255.255.255.255 as that allows access to all possible IPs. Refer: https://docs.microsoft.com/en-us/azure/redis-cache/cache-configure#firewall, (REST API) https://docs.microsoft.com/en-in/rest/api/redis/redisfirewallrule.  Note: In case the IP range is indeterminate (for instance, if the client is a PaaS endpoint), you may need to attest this control.","Yes","No","SDL, Best Practice, Automated, AuthZ, RedisCache"
"RedisCache","Azure_RedisCache_BCDR_Use_RDB_Backup","Redis Data Persistence should be enabled to back up Redis Cache data","Moderate","No","No","Enabling backup on Redis Cache ensures that there is always a previous snapshot of data that can be leveraged towards recovery scenarios.","Configure data persistence. Refer: https://docs.microsoft.com/en-us/azure/redis-cache/cache-configure#redis-data-persistence","Yes","No","SDL, Best Practice, Automated, BCDR, RedisCache"
"RedisCache","Azure_RedisCache_DP_Use_SSL_Port","Non-SSL port must not be enabled","Important","Yes","No","Use of HTTPS ensures server/service authentication and protects data in transit from network layer man-in-the-middle, eavesdropping, session-hijacking attacks.","To disable Non-SSL port for Redis Cache, run command : Set-AzRedisCache -ResourceGroupName <String> -Name <String> -EnableNonSslPort $false","Yes","Yes","SDL, TCP, Automated, DP, RedisCache"
"RedisCache","Azure_RedisCache_DP_Rotate_Keys","Access keys must be rotated periodically","Moderate","No","No","Periodic key/password rotation is a good security hygiene practice as, over time, it minimizes the likelihood of data loss/compromise which can arise from key theft/brute forcing/recovery attacks.","Rotate keys at regular intervals. To generate a new key, run command 'New-AzRedisCacheKey'. Run 'Get-Help New-AzRedisCacheKey -full' for more help.","No","No","SDL, TCP, Manual, DP, RedisCache"
"RedisCache","Azure_RedisCache_AuthN_Dont_Share_Cache_Instances","Do not share cache instances across applications","Important","No","No","There is no access control within a cache. If multiple applications share the same cache they will be able to freely access each others cached data which may lead to compromise.","Create a separate Redis Cache instance for each application. Refer: https://docs.microsoft.com/en-us/azure/redis-cache/cache-web-app-howto#configure-the-application-to-use-redis-cache","No","No","SDL, TCP, Manual, AuthN, RedisCache"
"RedisCache","Azure_RedisCache_NetSec_Configure_Virtual_Network_For_Domain_App","Redis Cache instance should be confined within a virtual network for domain-joined scenarios","Moderate","No","No","Azure Virtual Network (VNet) deployment provides enhanced security and isolation for Azure Redis Cache, as well as subnets, access control policies, and other features to further restrict access.","For steps to configure Azure Redis Cache on a Virtual Network, refer: https://docs.microsoft.com/en-us/azure/redis-cache/cache-how-to-premium-vnet","No","No","SDL, TCP, Manual, NetSec, RedisCache"
"StreamAnalytics","Azure_StreamAnalytics_AuthZ_Grant_Min_RBAC_Access","All users/identities must be granted minimum required permissions using Role Based Access Control (RBAC)","Moderate","No","No","Granting minimum access by leveraging RBAC feature ensures that users are granted just enough permissions to perform their tasks. This minimizes exposure of the resources in case of user/service account compromise.","Remove any excessive privileges granted on the Stream Analytics. Assign 'Log Analytics Contributor' RBAC role to developers who manages Stream Analytics configurations. Run command: Remove-AzRoleAssignment -SignInName '{signInName}' -Scope '{scope}' -RoleDefinitionName '{role definition name}'. Run 'Get-Help Remove-AzRoleAssignment -full' for more help. Refer: https://docs.microsoft.com/en-us/azure/active-directory/role-based-access-control-manage-access-powershell","Yes","No","SDL, TCP, Automated, AuthZ, RBAC, StreamAnalytics"
"StreamAnalytics","Azure_StreamAnalytics_Audit_Enable_Diagnostics_Log","Diagnostics logs must be enabled with a retention period of at least 365 days.","Moderate","No","No","Logs should be retained for a long enough period so that activity trail can be recreated when investigations are required in the event of an incident or a compromise. A period of 1 year is typical for several compliance requirements as well.","You can change the diagnostic settings from the Azure Portal by following the steps given here: https://docs.microsoft.com/en-us/azure/monitoring-and-diagnostics/monitoring-archive-diagnostic-logs#archive-diagnostic-logs-using-the-portal","Yes","No","SDL, TCP, Automated, Audit, Diagnostics, StreamAnalytics"
