ControlID,Status
Azure_AppService_AuthZ_Grant_Min_RBAC_Access,Verify
Azure_AppService_DP_Use_CNAME_With_SSL,Failed
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,Verify
Azure_AppService_Config_Disable_Remote_Debugging,Passed
Azure_AppService_Config_Disable_Web_Sockets,Passed
Azure_AppService_BCDR_Use_AlwaysOn,Passed
Azure_AppService_Deploy_Use_Latest_Version,Passed
Azure_AppService_BCDR_Use_Multiple_Instances,Passed
Azure_AppService_BCDR_Use_App_Backup,Passed
Azure_AppService_Audit_Enable_Logging_and_Monitoring,Passed
Azure_AppService_DP_Dont_Allow_HTTP_Access,Failed
Azure_AppService_DP_Website_Load_Certificates_Not_All,Passed
Azure_AppService_Deploy_Dont_Use_Publish_Profiles,Manual
Azure_AppService_DP_Store_Secrets_in_Key_Vault,Manual
Azure_AppService_Deploy_Use_Notification_Hub,Manual
Azure_AppService_Deploy_Use_ARM_Template,Manual
Azure_AppService_BCDR_Configure_Auto_Healing,Manual
