ControlID,Status
Azure_DataFactory_DP_LinkSvc_Encrypt_In_Transit,Passed
Azure_DataFactory_AuthZ_Grant_Min_Access,Manual
Azure_DataFactory_Config_Lockdown_DMG_Server,Manual
Azure_DataFactory_Deploy_Register_DMG_Securely,Manual
Azure_DataFactory_DP_Rotate_Gateway_Key,Manual
Azure_DataFactory_AuthZ_Use_Svc_Acct_for_DMG,Manual
Azure_DataFactory_Audit_Enable_Logging_and_Monitoring,Manual
Azure_DataFatory_AuthN_DataLakeStore_LinkedService,Manual
Azure_DataFatory_BCDR_Multiple_Node_DMG,Manual
Azure_DataFactory_DP_Encrypt_Node_To_Node_Communication,Manual
Azure_DataFactory_BCDR_DMG_Configuration_Backup,Manual
Azure_DataFactory_DP_Encrypt_Credentials_LinkedService,Manual
Azure_DataFactory_BCDR_Config_Fault_Tolerance,Manual
