ControlID,Status
Azure_EventHub_AuthZ_Dont_Use_Policies_At_SB_Namespace,Verify
Azure_EventHub_AuthZ_Dont_Use_Policies_At_SB_Namespace,Verify
Azure_EventHub_AuthZ_Use_Min_Permissions_Access_Policies,Verify
Azure_EventHub_AuthZ_Use_Min_Permissions_Access_Policies,Verify
Azure_EventHub_AuthZ_Grant_Min_RBAC_Access,Verify
Azure_EventHub_Audit_Enable_Diagnostics_Log,Failed
Azure_EventHub_Deploy_Use_ARM_Model,Manual
Azure_EventHub_AuthN_Dont_Use_ACS,Manual
Azure_EventHub_DP_Protect_Keys_At_Rest,Manual
Azure_EventHub_DP_Rotate_Keys,Manual
Azure_EventHub_Audit_Review_Logs,Manual
Azure_EventHub_DP_Encrypt_In_Transit,Manual
Azure_EventHub_AuthZ_Use_Min_Token_Lifetime,Manual
Azure_EventHub_AuthN_Use_Publisher_Token,Manual
