ControlID,Status
Azure_AppService_AuthZ_Grant_Min_RBAC_Access,Verify
Azure_AppService_DP_Use_CNAME_With_SSL,Failed
Azure_AppService_AuthN_Use_AAD_for_Client_AuthN,Verify
Azure_AppService_Config_Disable_Remote_Debugging,Failed
Azure_AppService_Config_Disable_Web_Sockets,Failed
Azure_AppService_Deploy_Use_Latest_Version,Failed
Azure_AppService_Deploy_Use_64_bit,Failed
Azure_AppService_Audit_Enable_Logging_and_Monitoring,Failed
Azure_AppService_DP_Website_Load_Certificates_Not_All,Failed
Azure_AppService_Authz_Use_Function_Authorization_level_Fn,Passed
Azure_AppService_Configure_EditMode_ReadOnly_Fn,Failed
Azure_AppService_Deploy_Dont_Use_Publish_Profiles,Manual
Azure_AppService_AuthZ_Trigger_Url_AuthN,Manual
Azure_AppService_DP_Encrypt_In_Transit_Webhook,Manual
Azure_AppService_DP_Store_Secrets_in_Key_Vault,Manual
Azure_AppService_Deploy_Use_Notification_Hub,Manual
Azure_AppService_Deploy_Use_ARM_Template,Manual
Azure_AppService_DP_Configure_Rotate_Keys_Fn,Manual
Azure_AppService_DP_Dont_Share_HostKeys_Fn,Manual
Azure_AppService_DP_Use_Individual_FunctionKeys_Fn,Manual
