ControlID,Status
Azure_KeyVault_AuthN_Use_Cert_Auth_for_Apps,Passed
Azure_KeyVault_AuthN_Dont_Share_KeyVault_Unless_Trust,Passed
Azure_KeyVault_AuthZ_Grant_Min_RBAC_Access,Verify
Azure_KeyVault_AuthZ_Grant_Min_Access_policies,Verify
Azure_KeyVault_AuthZ_Configure_Advanced_Access_Policies,Passed
Azure_KeyVault_DP_Keys_Protect_By_HSM,Passed
Azure_KeyVault_DP_Keys_Secrets_Check_Expiry_Date,Passed
Azure_KeyVault_Audit_Enable_Diagnostics_Log,Failed
Azure_KeyVault_AuthN_Key_Min_Operation,Passed
Azure_KeyVault_DP_Identify_Roles,Manual
Azure_KeyVault_DP_Rotate_Key_Periodocally,Manual
Azure_KeyVault_Audit_Review_Logs,Manual
