ControlID,Status
Azure_SQLDatabase_Deploy_Use_Latest_Version,Passed
Azure_SQLDatabase_AuthZ_Use_AAD_Admin,Failed
Azure_SQLDatabase_Audit_Enable_Logging_and_Monitoring_Server,Failed
Azure_SQLDatabase_Audit_Enable_Logging_and_Monitoring_DB,Passed
Azure_SQLDatabase_DP_Enable_TDE,Passed
Azure_SQLDatabase_Audit_Enable_Threat_Detection_Server,Failed
Azure_SQLDatabase_Audit_Enable_Threat_Detection_DB,Passed
Azure_SQLDatabase_AuthZ_Enable_Firewall,Failed
Azure_SQLDatabase_AuthZ_Configure_IP_Range,Failed
Azure_SQLDatabase_AuthZ_Use_IP_Firewall_Rules_DB,Manual
Azure_SQLDatabase_AuthN_Use_AAD_for_Client_AuthN,Manual
Azure_SQLDatabase_AuthN_Dont_Use_SQL_AuthN,Manual
Azure_SQLDatabase_AuthN_Use_AAD_Credentials,Manual
Azure_SQLDatabase_AuthN_Use_AAD_Credentials,Manual
Azure_SQLDatabase_AuthZ_Assign_IT_Contributor,Manual
Azure_SQLDatabase_Audit_Review_Logs_Periodically,Manual
Azure_SQLDatabase_DP_Use_Client_Side_Encryption,Manual
Azure_SQLDatabase_DP_Escrow_Asymmetric_Keys,Manual
Azure_SQLDatabase_DP_Protect_Symmetric_Keys,Manual
Azure_SQLDatabase_DP_Store_Secrets_in_Key_Vault,Manual
Azure_SQLDatabase_DP_Dont_Generate_Asymmetric_Keys_Keyvault,Manual
Azure_SQLDatabase_DP_CLE_Key_Protection,Manual
Azure_SQLDatabase_AuthZ_Grant_Min_Access,Manual
Azure_SQLDatabase_AuthZ_Use_Least_Priv_Accounts,Manual
Azure_SQLDatabase_AuthZ_Allow_Only_Outbound,Manual
Azure_SQLDatabase_AuthN_Validate_SQL_Server_Cert,Manual
