ControlID,Status
Azure_ServiceBus_AuthZ_Dont_Use_Policies_At_SB_Namespace,Verify
Azure_ServiceBus_AuthZ_Dont_Use_Policies_At_SB_Namespace,Failed
Azure_ServiceBus_AuthZ_Use_Minimum_Access_Policies,Verify
Azure_ServiceBus_AuthZ_Use_Minimum_Access_Policies,Passed
Azure_ServiceBus_AuthZ_Grant_Min_RBAC_Access,Verify
Azure_ServiceBus_Audit_Enable_Diagnostics_Log,Failed
Azure_ServiceBus_Deploy_Use_ARM_Model,Manual
Azure_ServiceBus_AuthN_Dont_Use_ACS,Manual
Azure_ServiceBus_DP_Protect_Keys_at_Rest,Manual
Azure_ServiceBus_DP_Rotate_Keys,Manual
Azure_ServiceBus_Audit_Review_logs,Manual
Azure_ServiceBus_DP_Encrypt_in_Transit,Manual
Azure_ServiceBus_AuthZ_Use_Min_Token_Lifetime,Manual
Azure_ServiceBus_BCDR_Paired_Namespace_In_Diff_Center,Manual
