ControlID,Status
Azure_Storage_AuthN_Dont_Allow_Anonymous,Passed
Azure_Storage_Audit_Issue_Alert_AuthN_Req,Passed
Azure_Storage_Deploy_Use_Geo_Redundant,Passed
Azure_Storage_DP_Encrypt_at_Rest_Blob,Passed
Azure_Storage_Audit_AuthN_Requests,Passed
Azure_Storage_DP_Encrypt_In_Transit,Passed
Azure_Storage_AuthZ_Use_IP_ACL,Manual
Azure_Storage_AuthZ_Clients_Use_SAS,Manual
Azure_Storage_DP_Rotate_Keys,Manual
Azure_Storage_AuthZ_Allow_Limited_Access_to_Services,Manual
Azure_Storage_DP_Encrypt_at_Rest_Table,Manual
Azure_Storage_DP_Encrypt_at_Rest_Queue,Manual
Azure_Storage_DP_Encrypt_at_Rest_File,Passed
